supplier_id,supplier_name,country,category,performance_score,risk_score,lead_time_days,cost_per_unit,capacity_utilization,quality_rating,financial_stability
SUP_0001,Global_Supplier_1,Germany,Components,0.7590962604291688,0.3529425411790989,46,116.99415480773331,0.735834902497023,0.8333148534151616,0.7898884461110158
SUP_0002,Global_Supplier_2,China,Manufacturing,0.8542069609951222,0.4829835107870462,57,81.38368800180648,0.8397541551752681,0.9628549614727062,0.6774113807471144
SUP_0003,Global_Supplier_3,Mexico,Raw Materials,0.8885059536488822,0.05745599081240767,13,98.50348300427993,0.6234245535966303,0.7673377583218225,0.5540142936095649
SUP_0004,Global_Supplier_4,Mexico,Manufacturing,0.8669695138683705,0.6776935236530524,50,130.2541242592744,0.8903498757027615,0.7427708981132973,0.6079429277428363
SUP_0005,Global_Supplier_5,Brazil,Manufacturing,0.90376881621847,0.36562244906816055,8,66.50113142303294,0.7653219911591276,0.7228025082496041,0.9090006975199989
SUP_0006,Global_Supplier_6,Mexico,Components,0.7099134987942602,0.41734460530815637,3,64.2584269928434,0.8074254445467137,0.866194109013902,0.659877342608631
SUP_0007,Global_Supplier_7,Mexico,Components,0.9575894752972915,0.7045059891136577,7,76.018746912912,0.6298145167945755,0.8355268385328465,0.6000376568040133
SUP_0008,Global_Supplier_8,Japan,Packaging,0.6712412503080605,0.6686419718119803,57,120.79113484567782,0.6851804256364948,0.8886988178990205,0.9303133781697519
SUP_0009,Global_Supplier_9,Brazil,Raw Materials,0.848774834835514,0.14188432780455462,55,122.52317127564936,0.67530859043037,0.7802836083911753,0.6381841199900659
SUP_0010,Global_Supplier_10,Brazil,Raw Materials,0.7193119129837855,0.5800476146967898,24,109.70092871280326,0.639486093562008,0.8427323380237974,0.6174847254299785
SUP_0011,Global_Supplier_11,Japan,Logistics,0.7139143274777568,0.6109391952594164,22,49.81037846317188,0.6183445833834172,0.9779701164274879,0.8563260606342652
SUP_0012,Global_Supplier_12,India,Packaging,0.8306079677934699,0.7426869146343026,56,96.89723450061435,0.60099020906244,0.8097499167668993,0.8978237890718056
SUP_0013,Global_Supplier_13,Japan,Manufacturing,0.9005396255861868,0.6086050797412489,53,64.48645731837834,0.7315654208913924,0.8156345753254294,0.8616769534840124
SUP_0014,Global_Supplier_14,USA,Components,0.6945773474716533,0.4211537721199655,41,65.96682585196776,0.7647912048774617,0.924696530924076,0.5010902995913115
SUP_0015,Global_Supplier_15,India,Packaging,0.8388167098622763,0.13330094392802444,18,143.09458772313332,0.8703278747002124,0.9046762944743386,0.6561314342600325
SUP_0016,Global_Supplier_16,India,Manufacturing,0.723924371295855,0.5420342698986322,19,147.77956125151496,0.9392560325652953,0.7062069774759239,0.908175535021659
SUP_0017,Global_Supplier_17,India,Raw Materials,0.9640673568787461,0.5124326830101319,35,111.65754515652921,0.6661755549437864,0.7457156556667002,0.7898854951074137
SUP_0018,Global_Supplier_18,India,Raw Materials,0.9333116086755029,0.17308407553007804,35,26.26863328802067,0.8551619041572209,0.7330034413210591,0.7804717207102088
SUP_0019,Global_Supplier_19,South Korea,Raw Materials,0.7786644103649174,0.4455482074056734,24,146.74890220158704,0.6837008530224558,0.8921645312651124,0.8503165457482642
SUP_0020,Global_Supplier_20,Brazil,Logistics,0.752507368155108,0.20953673309911686,38,52.603906724951024,0.7175446344468427,0.9870825902897811,0.6031180117937209
SUP_0021,Global_Supplier_21,Japan,Manufacturing,0.7748964060419936,0.740088786382202,22,22.852918109642182,0.9050337003044078,0.8464888245487235,0.5819895866323592
SUP_0022,Global_Supplier_22,China,Packaging,0.8864993503960951,0.7488021302282671,25,16.640534980561924,0.7714549081359683,0.7170369989930221,0.5159134605849129
SUP_0023,Global_Supplier_23,China,Raw Materials,0.9086337595528978,0.5286136856148911,44,104.74215721894649,0.6943734696339691,0.885906941894063,0.6770860464193597
SUP_0024,Global_Supplier_24,USA,Raw Materials,0.9393199620383912,0.5054506807931886,42,128.67757864913267,0.8414900939312668,0.781842885475863,0.6313133335900275
SUP_0025,Global_Supplier_25,Japan,Raw Materials,0.6543054104208041,0.052274581014996095,52,118.02290748896655,0.8094563890438556,0.8934542293156574,0.9379332535979829
SUP_0026,Global_Supplier_26,Brazil,Components,0.8250750917746879,0.7028904327767663,51,116.51725803359871,0.8773647099788473,0.7172320269136397,0.8722175855598255
SUP_0027,Global_Supplier_27,Germany,Packaging,0.8350830620434196,0.557979354529637,47,63.38524971414481,0.8756178450967469,0.9280775413173346,0.6966858607135905
SUP_0028,Global_Supplier_28,USA,Raw Materials,0.6638477375994636,0.4437739074370577,12,121.43160892235224,0.6029198377011447,0.846324401228359,0.7994997435439505
